_id,storyId,userName,displayName,isLocal,profileDescription,sharedId,latestTimeStamp,latestExpirationTimestamp,viewed,kind,groupStoryType,isPostable,rankingId,lastSyncRequestId,minSequence,maxSequence,lastSyncMaxSequence,userId
1,my_story_ads79sdf,,My Story,0,,,,,,2,,1,,,,,0,9002a6f8-54f8-4540-bc16-53a6b37f0688
2,my_story_ads79sdf,,My Story,0,,,,,,3,,0,,,,,0,9002a6f8-54f8-4540-bc16-53a6b37f0688
3,glssubmittolive,,Snap Map,0,,glssubmittolive,,,,5,,1,,,1.0,0.0,0,
4,glssubmittolive,,Spotlight,1,,glssubmittolive,,,,10,,1,,,,,0,
5,84ee8839-3911-492d-8b94-72dd80f3713a,,,0,,,,,,0,,0,0.0,206c4591-4d51-c04f-8103-63300a547347,1.0,1.0,1,84ee8839-3911-492d-8b94-72dd80f3713a
6,c7b9184b-4d87-4265-bf79-ac3473d8e57a,,BethD,0,,,,,,0,,0,,,1.0,1.0,1,c7b9184b-4d87-4265-bf79-ac3473d8e57a
7,8ced30e2-97b4-441c-af16-21de0932393c,,Babygirl🥵😘💚,0,,,,,,0,,0,,,1.0,8.0,8,8ced30e2-97b4-441c-af16-21de0932393c
8,abbb3850-1676-4234-9f9c-ada9227a72e1,,Kaylaaa,0,,,,,,0,,0,,,1.0,5.0,5,abbb3850-1676-4234-9f9c-ada9227a72e1
9,a4bfe646-8e7c-4654-9bd7-7267d704b692,,💜Laii💙,0,,,,,,0,,0,,,1.0,10.0,10,a4bfe646-8e7c-4654-9bd7-7267d704b692
10,3e71338a-f17e-4b3e-a39e-3f413a485314,,isabela cobley,0,,,,,,0,,0,,,1.0,1.0,1,3e71338a-f17e-4b3e-a39e-3f413a485314
11,543b8344-8276-42f3-a3a8-d0a90456b78f,,Jalen Echols,0,,,,,,0,,0,,,1.0,1.0,1,543b8344-8276-42f3-a3a8-d0a90456b78f
12,b854adeb-7e5b-47b1-84a6-408eb46cbfcb,,Linnet🖤,0,,,,,,0,,0,,,1.0,3.0,3,b854adeb-7e5b-47b1-84a6-408eb46cbfcb
13,bec96384-9edd-4dfc-b8f3-94585972a769,,Zach,0,,,,,,0,,0,,,1.0,1.0,1,bec96384-9edd-4dfc-b8f3-94585972a769
14,6ad9b604-0665-433a-87f1-68d85b646a66,,bunny⛓🛐,0,,,,,,0,,0,,,1.0,8.0,8,6ad9b604-0665-433a-87f1-68d85b646a66
15,98f22783-e297-49ff-8b17-d3981216b863,,Alanna,0,,,,,,0,,0,,,1.0,2.0,2,98f22783-e297-49ff-8b17-d3981216b863
16,58861520-1bf6-4480-a2d7-3b99cf4221a5,,payton roden,0,,,,,,0,,0,,,1.0,1.0,1,58861520-1bf6-4480-a2d7-3b99cf4221a5
17,b67ec972-1be4-483a-a5a8-bf642d935bc2,,Jaeden Avery,0,,,,,,0,,0,,,1.0,1.0,1,b67ec972-1be4-483a-a5a8-bf642d935bc2
