docid,c0_id,c1index_text,c2source_id,c3table_to_use
1,1,"<#> Your WhatsApp code: 506-924

You can also tap on this link to verify your phone: v.whatsapp.com/506924

Don't share this code with others
4sgLq1p5sV6",1,1
2,2,"SIGNAL: Your code is: 470-828

doDiFGKPO1r",2,1
3,3,"<#> Heisenberg, 7357 is your Venmo phone verification code. Enter it at venmo.com or in the Venmo app to verify your account. /xgtoYT3piw",3,1
4,4,266781 is your Facebook for Android confirmation code,4,1
5,5,<#> 1988 is your T-Mobile Tuesdays code. Enter it in the app to #GetThanked. r3LJoc8uXZB,5,1
6,6,"Hey, I love this app for saving $ on gas. My code Z8H58 gets you a 15c/gal bonus. https://upside.app.link/21Lpw38Vnfb",6,1
7,7,T-Mobile: There are safety measures you can take in anticipation of emergencies and disasters and a list of efforts T-Mobile is taking to keep our network operational during such events. For info: https://cawirelessemergencyprep.com/,7,1
8,8,<#> Snapchat Code: 843757. Happy Snapping! qunyt57f5Rf,8,1
9,9,"Thought you might be interested in this CarGurus listing:
2018 Honda CR-V Touring AWD - $22,894 (Great Deal)
Mileage: 78,126 Location: West Caldwell, NJ
https://www.cargurus.com/Cars/link/302547009",9,1
10,10,"Thought you might be interested in this CarGurus listing:
2017 Honda CR-V EX-L AWD - $21,495 (Great Deal)
Mileage: 62,315 Location: York, PA
https://www.cargurus.com/Cars/link/298601924",10,1
11,11,"Thought you might be interested in this CarGurus listing:
2017 Honda CR-V EX-L AWD - $22,507 (Great Deal)
Mileage: 47,304 Location: Norfolk, VA
https://www.cargurus.com/Cars/link/304225669",11,1
12,12,"Thought you might be interested in this CarGurus listing:
2017 Honda CR-V EX-L AWD - $19,795 (Great Deal)
Mileage: 76,065 Location: Coraopolis, PA
https://www.cargurus.com/Cars/link/306608227",12,1
13,13,"Hey, thanks for calling, I will look up the inventory and get back to you in a few mins.",13,1
14,14,Great!,14,1
15,15,"Just to make sure, you wanted a Hyundai right?",15,1
16,16,Yes that is right! The newer the better.,16,1
17,17,"And just to be safe, can you tell me where you got my reference from?",17,1
18,18,"Oh, it was one of my friends down in North Carolina who saw your Craigslist postings and mentioned it to me.",18,1
19,19,"Uhh ok, I guess I can work with that.",19,1
20,20,👍🏻,20,1
21,21,"So, I checked and I still have a Hyundai Sonata, its probably a 2015, would you be interested?",21,1
22,22,Sure! Send me pictures and some info,22,1
23,23,"120K miles, 2014 Hyundai Sonata.",23,1
24,24,Can't give you the VIN due to privacy. You can have it when you come over to see the vehicle.,24,1
25,25,Ok that sounds good!,25,1
26,26,When would you like to meet to look at the car and seal the deal?,26,1
27,27,I will send you a text tomorrow morning and let you know what time tomorrow works best if that is ok with you?,27,1
28,28,"Sure, let me know, I will let you know if I am available or not. See you!",28,1
29,29,Can you meet in about 20mins at the Washington Street Tennis Courts?,29,1
30,30,"Sure, will see you at the building left of the courts.",30,1
31,31,Sounds good! See you!,31,1
32,32,Hey Beth!,32,1
33,33,Free Msg: Receiver 6104572655 unable to receive message - Message Blocking is active.,33,1
