_id,name,numeric,mcc,mnc,carrier_id,apn,user,server,password,proxy,port,mmsproxy,mmsport,mmsc,authtype,type,current,current1,sim_slot,protocol,roaming_protocol,carrier_enabled,bearer,bearer_bitmask,network_type_bitmask,mvno_type,mvno_match_data,sub_id,profile_id,modem_cognitive,max_conns,wait_time,max_conns_time,mtu,edited,user_visible,user_editable,owned_by,apn_set_id,roaming,skip_464xlat
1,Cosmote Internet,20201,202,01,-1,internet,,,,,,,,,0,"default,xcap,supl,email",,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
2,Cosmote MMS,20201,202,01,-1,mms,,,,,,10.10.10.20,8080,http://mmsc.cosmote.gr:8002,0,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
3,Cosmote IMS,20201,202,01,-1,IMS,,,,,,,,,0,ims,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,0,1,1,0,0,-1
4,HOS,20201,202,01,-1,hos,,,,,,10.10.10.20,8080,http://mmsc.cosmote.gr:8002,1,"mms,xcap",,,-1,IPV4V6,IP,1,0,131072,131072,,,1,0,0,20,0,300,0,0,0,1,1,0,0,-1
5,Vf Internet,20205,202,05,-1,internet.vodafone.gr,,,pass,,,,,,1,"default,xcap,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
6,Vf MMS,20205,202,05,-1,mms.vodafone.net,user,,pass,,,213.249.19.49,5080,http://mms.vodafone.gr,1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
7,IMS,20205,202,05,-1,ims,,,,,,,,,-1,ims,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
8,Q Internet,20209,202,09,-1,myq,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
9,Q MMS,20209,202,09,-1,q-mms.myq.gr,,,,,,192.168.80.134,8080,http://mms.myq.gr,-1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
10,Wind Internet,20210,202,10,-1,gint.b-online.gr,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
11,Wind MMS,20210,202,10,-1,mnet.b-online.gr,,,,,,192.168.200.11,9401,http://192.168.200.95/servlets/mms,-1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
12,Wind IMS,20210,202,10,-1,ims,,,,,,,,,-1,ims,,,-1,IPV6,IP,1,0,0,0,,,1,0,0,20,0,300,1390,0,1,1,1,0,0,-1
13,Wind XCAP,20210,202,10,-1,hos,,,,,,,,,-1,xcap,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
14,Tele2 Internet,20402,204,02,-1,internet.tele2.nl,,,,,,193.12.40.64,8080,http://mmsc.tele2.nl,1,"default,supl,mms,xcap",,,-1,IPV4V6,IP,1,0,0,0,spn,Tele2 NL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
15,Tele2 IMS,20402,204,02,-1,IMS,,,,,,,,,-1,ims,,,-1,IPV6,IP,1,0,0,0,spn,Tele2 NL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
16,Tele2 Internet,20402,204,02,-1,internet.tele2.nl,,,,,,193.12.40.64,8080,http://mmsc.tele2.nl,1,"default,supl,mms,xcap",,,-1,IPV4V6,IP,1,0,0,0,imsi,2040278,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
17,Tele2 IMS,20402,204,02,-1,IMS,,,,,,,,,-1,ims,,,-1,IPV6,IP,1,0,0,0,imsi,2040278,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
18,Tele2 Internet,20402,204,02,-1,internet.tele2.nl,,,,,,193.12.40.64,8080,http://mmsc.tele2.nl,1,"default,supl,mms,xcap",,,-1,IPV4V6,IP,1,0,0,0,gid,4E4C,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
19,Tele2 IMS,20402,204,02,-1,IMS,,,,,,,,,-1,ims,,,-1,IPV6,IP,1,0,0,0,gid,4E4C,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
20,MVNO NL,20403,204,03,-1,internet.mvno.mobi,mvno,,mvno,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,20403,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
21,Avantel LTE,204043,204,043,-1,lte.avantel.com.co,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
22,KPN/Hi 4G LTE Mobiel internet,20408,204,08,-1,KPN4G.nl,,,,,,10.10.100.20,5080,http://mp.mobiel.kpn/mmsc,-1,"default,supl,mms",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
23,KPN Internet,20408,204,08,-1,internet,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IPV4V6,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
24,KPN IMS,20408,204,08,-1,ims,,,,,,,,,-1,ims,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
25,KPN XCAP,20408,204,08,-1,ut,,,,,,,,,-1,xcap,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
26,MVNO NL,20408,204,08,-1,internet.mvno.mobi,mvno,,mvno,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,204080950,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
27,Rabo Mobiel Int.,20408,204,08,-1,rabo,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,Rabo Mobiel,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
28,Rabo Mobiel MMS,20408,204,08,-1,rabo,,,,,,10.10.100.10,5080,http://mp.mobiel.kpn/mmsc,-1,mms,,,-1,IP,IP,1,0,0,0,spn,Rabo Mobiel,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
29,Lycamobile,20409,204,09,-1,data.lycamobile.nl,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,Lycamobile,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
30,Telfort Internet,20412,204,12,-1,internet,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IPV4V6,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
31,T-Mobile Internet,20416,204,16,-1,smartsites.t-mobile,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
