id,download_id,header,value
419,364,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
420,364,Accept,application/octet-stream
421,365,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
422,365,Accept,application/octet-stream
423,366,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
424,366,Accept,application/octet-stream
425,367,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
426,367,Accept,application/octet-stream
427,368,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
428,368,Accept,application/octet-stream
