_id,package_name,uid,detect_time,anomaly_type,action_type,auto_restriction
1,com.android.vending,10119,1617476965573,1008,kill,0
2,com.google.android.videos,10284,1618598483495,32,sleep,0
3,com.microsoft.office.officehubrow,10289,1618588899676,32,deepSleep,0
4,com.google.android.videos,10284,1618588899635,32,deepSleep,0
5,com.google.android.apps.docs,10283,1618588899618,32,deepSleep,0
6,com.google.android.music,10285,1618588899373,32,deepSleep,0
7,com.microsoft.office.outlook,10287,1618588884441,32,deepSleep,0
8,com.venmo,10305,1618718950087,32,sleep,0
9,com.duckduckgo.mobile.android,10304,1618849904362,32,sleep,0
10,com.zhiliaoapp.musically,10302,1619283880444,32,sleep,0
11,com.google.android.apps.maps,10224,1619493947909,2,detected,0
12,com.zhiliaoapp.musically,10302,1619707777811,32,sleep,0
13,com.google.android.apps.maps,10224,1621125213950,2,kill,0
14,com.google.android.apps.maps,10224,1622917551832,2,kill,0
15,com.google.android.apps.maps,10224,1623017217215,2,kill,0
16,com.duckduckgo.mobile.android,10304,1623013043072,32,deepSleep,0
17,com.linkedin.android,10288,1623013043039,32,deepSleep,0
18,com.venmo,10305,1623013043004,32,deepSleep,0
19,com.microsoft.office.officehubrow,10289,1623013042965,32,deepSleep,0
20,com.spotify.music,10298,1623013042920,32,deepSleep,0
21,app.greyshirts.sslcapture,10311,1623013042843,32,deepSleep,0
22,com.google.android.music,10285,1623013042652,32,deepSleep,0
23,com.microsoft.office.outlook,10287,1623013042585,32,deepSleep,0
24,org.thoughtcrime.securesms,10303,1623013042447,32,deepSleep,0
25,com.instagram.android,10300,1623441920015,32,deepSleep,0
26,com.microsoft.skydrive,10117,1624121208172,1008,detected,0
27,com.zhiliaoapp.musically,10302,1625872584234,16,kill,0
28,com.zhiliaoapp.musically,10302,1625870961067,1008,kill,0
29,com.zhiliaoapp.musically,10302,1625867047084,1008,kill,0
30,com.zhiliaoapp.musically,10302,1625865935795,1008,kill,0
31,com.zhiliaoapp.musically,10302,1625865575389,1008,kill,0
32,com.zhiliaoapp.musically,10302,1625853509921,1008,kill,0
33,com.zhiliaoapp.musically,10302,1625848884335,1008,kill,0
34,com.zhiliaoapp.musically,10302,1625845825607,1008,kill,0
35,com.zhiliaoapp.musically,10302,1625840808774,1008,kill,0
36,com.zhiliaoapp.musically,10302,1625834861190,1008,kill,0
37,com.zhiliaoapp.musically,10302,1625892603293,1008,kill,0
38,com.zhiliaoapp.musically,10302,1625884310218,1008,kill,0
39,com.zhiliaoapp.musically,10302,1625906407357,1008,kill,0
40,com.zhiliaoapp.musically,10302,1625898289845,1008,kill,0
41,com.zhiliaoapp.musically,10302,1625937429803,1008,kill,0
42,com.zhiliaoapp.musically,10302,1625936826611,1008,kill,0
43,com.zhiliaoapp.musically,10302,1625936524960,1008,kill,0
44,com.zhiliaoapp.musically,10302,1625936047204,1008,kill,0
45,com.zhiliaoapp.musically,10302,1625931743764,1008,kill,0
46,com.zhiliaoapp.musically,10302,1625919291289,1008,kill,0
47,com.zhiliaoapp.musically,10302,1625940765140,1008,kill,0
48,com.zhiliaoapp.musically,10302,1625940162018,1008,kill,0
49,com.zhiliaoapp.musically,10302,1625939860541,1008,kill,0
50,com.zhiliaoapp.musically,10302,1625939558974,1008,kill,0
51,com.zhiliaoapp.musically,10302,1625939257403,1008,kill,0
52,com.zhiliaoapp.musically,10302,1625938955779,1008,kill,0
53,com.zhiliaoapp.musically,10302,1625938334595,1008,kill,0
54,com.zhiliaoapp.musically,10302,1625938033009,1008,kill,0
55,com.zhiliaoapp.musically,10302,1625937731406,1008,kill,0
56,com.zhiliaoapp.musically,10302,1625974285513,16,kill,0
57,com.zhiliaoapp.musically,10302,1625973611073,1008,kill,0
58,com.zhiliaoapp.musically,10302,1625969922482,1008,kill,0
59,com.zhiliaoapp.musically,10302,1625964301556,1008,kill,0
60,com.zhiliaoapp.musically,10302,1625956208809,1008,kill,0
61,com.zhiliaoapp.musically,10302,1625950886622,1008,kill,0
62,com.zhiliaoapp.musically,10302,1625947409187,1008,kill,0
63,com.zhiliaoapp.musically,10302,1625941368315,1008,kill,0
64,com.zhiliaoapp.musically,10302,1625941066720,1008,kill,0
65,com.zhiliaoapp.musically,10302,1626029094483,1008,kill,0
66,com.zhiliaoapp.musically,10302,1626023382151,1008,kill,0
67,com.zhiliaoapp.musically,10302,1626015278898,1008,kill,0
68,com.zhiliaoapp.musically,10302,1626012593653,1008,kill,0
69,com.zhiliaoapp.musically,10302,1626007076887,1008,kill,0
70,com.zhiliaoapp.musically,10302,1626068996269,1008,kill,0
71,com.zhiliaoapp.musically,10302,1626060347148,1008,kill,0
72,com.zhiliaoapp.musically,10302,1626047187169,1008,kill,0
73,com.zhiliaoapp.musically,10302,1626039213805,1008,kill,0
74,com.zhiliaoapp.musically,10302,1626033957456,1008,kill,0
75,com.zhiliaoapp.musically,10302,1626093895240,1008,kill,0
76,com.zhiliaoapp.musically,10302,1626082529189,1008,kill,0
77,com.zhiliaoapp.musically,10302,1626152470130,1008,kill,0
