name,value
ce.cm.ims_reg_check_whitelist_carrier_ids,"1, 1839, 1404, 1345, 1187, 1788, 2146, 2018, 1505"
gms:security:enable_conscrypt_in_gms_application,true
matchstick_enable_business_compose_v9,true
videos:cast_icon_management_enabled,false
url:play.playlog_log,https://android.clients.google.com/play/log rewrite https://play.googleapis.com/log
society:primes_package_reporting,true
finsky.recovery_mode.is_enabled,false
audiomodem:recording_audio_source,CAMCORDER
voice_search:it_IT_hint_go_to,<b>vai su</b> wikipedia</string>
youtube:enable_what_to_watch_v3,true
cw:companion_needs_update_before_setup,true
cw:communication_activity_recognition_request_interval_ms,21600000
finsky.offline_autoscan_enabled,true
fireperf:c801b681188796b22cabfa84afff43d7cb3fbbf7_limits,sampling:27
checkin_logging_policy:snet,TAG_AND_VALUE
wallet.volley_api_request_default_timeout,35000
meetings:enable_primes_memory_monitoring,true
videos:knowledge_enabled_tablets,false
nearbymessages:hidden_clients,"com.google.devrel.gmscore.memtest.location.nearby.messages,com.google.devrel.gmscore.batterytest.microbenchmark.nearby.test,com.google.android.gms.apitest,com.google.android.apps.testing.devicewhisperer.deviceagents.copresence,com.google.android.apps.testing.devicewhisperer.deviceagents.nearby,com.android.chrome,com.chrome.beta,com.chrome.dev,com.chrome.canary,com.chrome.work,com.google.android.apps.chrome,com.google.android.apps.gmm,com.google.android.apps.gmm.car,com.google.android.apps.gmm.dev,com.google.android.apps.gmm.fishfood,com.google.android.apps.gmm.qp,com.google.android.apps.maps,com.google.android.videos,com.google.android.apps.jamkiosk"
gtalk_ssl,true
settings_tos_url,https://www.google.com/intl/%s/mobile/android/basic/phone-legal.html
update_installation_device_idle_only_period,864000000
gms:feedback:ctl_message_popup,true
gms:lockbox:policy:default_lockbox_bucket_opt_in,false
gads:adid_js_url,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/adinfo.js
ocr.perform_nonstandard_cc_expdate_recognition,false
fitness.sync_timeout_seconds,60
voice_search:it_IT_hint_send_sms,<b>invia sms</b> a giulia bianchi
youtube:enable_innertube_guide_5_3_b,true
gearhead:android_auto_ignition_companion_video_url,https://www.youtube.com/watch?v=_eR9pS6tJDI
youtube:main:enable_lact,true
finsky.wear.auto_install_enable,true
fireperf:7e7b4e72667839ad68893ec09f98d7afc3fc7ae0_limits,sampling:50
global:lang_id_metadata_url,https://www.gstatic.com/android/text_classifier/langid/q/v1/model.smfb.metadata
finsky.daily_hygiene_probe_unauthenticated_account,true
gms:freighter:freighter_enabled,true
gms:lockbox:policy:disallow_logging_phone_sms_country_codes,"de,jp,kr"
wallet.branding.use_google_wallet_tos_text,false
fireperf:623dbf1339eaea29ce69d2262349e65931acd9c7_limits,sampling:50
bugle_enable_primes_memory_metrics,true
event:system_update_user,log
config_updater_cert,MIID4TCCAsmgAwIBAgIJAMsyDT+FwMuvMA0GCSqGSIb3DQEBBQUAMIGGMQswCQYDVQQGEwJVUzETMBEGA1UECAwKQ2FsaWZvcm5pYTEWMBQGA1UEBwwNTW91bnRhaW4gVmlldzETMBEGA1UECgwKR29vZ2xlIEluYzEQMA4GA1UECwwHQW5kcm9pZDEjMCEGCSqGSIb3DQEJARYUc2VjdXJpdHlAYW5kcm9pZC5jb20wHhcNMTIwOTEwMjA0NDQxWhcNMTIxMDEwMjA0NDQxWjCBhjELMAkGA1UEBhMCVVMxEzARBgNVBAgMCkNhbGlmb3JuaWExFjAUBgNVBAcMDU1vdW50YWluIFZpZXcxEzARBgNVBAoMCkdvb2dsZSBJbmMxEDAOBgNVBAsMB0FuZHJvaWQxIzAhBgkqhkiG9w0BCQEWFHNlY3VyaXR5QGFuZHJvaWQuY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwuFNNPal1QpUSH8MU5T+BSSbCv/jTU8pbRKwYfq4ZmsjG1BxX8GJS/itdHr5IgG5YGSRpB9JkWJTAne54Qv2xX3ck8yMySjOKbsCuF3Qnrv1HiM1w0PmMvPC5GvDJz9alrrsq6uj40Hd5ina8pTKieYO1PNIf1MByBnrq/615cPOwb4UAYUwx4ChFG8aUNoChgYk0Ain7YoX4Pw7/tXIiVArsPWRbtzXVaMNWONRUM3SGVT5NO67LEEk0vIkDVjmGnJaDkkF+yqAr24ekl2qdMQb9cEnc1wNCMtVdyxUelZoVxFnot3m4ZhYIPzGI2E88TJ6c30Qs1ocHuPXW8KfGQIDAQABo1AwTjAdBgNVHQ4EFgQUXlT7Zj4V/hHVbyL54kmRYizK/powHwYDVR0jBBgwFoAUXlT7Zj4V/hHVbyL54kmRYizK/powDAYDVR0TBAUwAwEB/zANBgkqhkiG9w0BAQUFAAOCAQEAE5D6pMFMJMwVTtrzZXExgn6r2q7LugmdIpaoFjiU/Iv/bk3VvhDU5jjE54G/fqi/g415yowkFQ02/ZkrTm/q3anvWsppN3NEns2YDi4moEhwLZcCVBzhjkppHGgkLHadzlJZdUFLnzZbDuiZrDNPEkjldVejF1qGt6LbW6d8xNmscerUdKJSUqryOi3U8SXjlTWu5d/hmajQLEe7VJ3y8q5rEsCfsb15EyYxNLfTZuf4PXVU/+kSciTyJxkPZAaz2J1zXQegzC+k3gzNnovlHYlDc5EaVnprsBgOCkaWQfjr6/5YyJysM96WMjndIjyFZSHnj9yF4j7JDwB9qEfxvA==
youtube:main:interaction_logging_enabled,true
