consumer_id,is_running,pk,data,job_id
1,0,4294968633,"b'\x08\xb9\n\x12\x0froutine-hygiene\x18\x01""<com.google.android.finsky.hygiene.impl.RoutineHygieneCoreJob(\x9c\xbd\xf2\xfb\xac/2\x12\x08\xc9\xd8\xcb\x14\x10\xc9\xb4\x98)\x18\x01`\x01h\x01p\x01J\x0e\n\x0c\n\x06reason\x12\x02\x10\x0cP\x00X\x01'",1337
3,0,12884903228,"b'\x08\xbc\n\x12\xd5\x02InstallConstraint{networkType=2, requireCharging=true, timeWindow=Optional.empty, provisionState=1, importanceThreshold=125, authentication=1, requireGearheadProjectionOff=true, requireVehicleParked=false, requireDeviceIdle=true, minimumBatteryLevel=0, allowedDuringEnterpriseSetup=false, shouldApplyBudget=false, ignoreInstallHoldoff=false}\x18\x03""Ccom.google.android.finsky.installqueue.impl.InstallQueuePhoneskyJob(\xa5\xea\xb8\xfd\xac/2\x0f\x08\x00\x10\x80\xb8\x99)\x18\x02`\x02h\x02p\x01B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00J+\n)\n\nconstraint\x12\x1b*\x19\x08\x02\x10\x01(\x01@}H\x01P\x01X\x01`\x00h\x00p\x00x\x00\x80\x01\x00'",1340
3,0,12884903229,"b'\x08\xbd\n\x12\xd6\x02InstallConstraint{networkType=2, requireCharging=true, timeWindow=Optional.empty, provisionState=1, importanceThreshold=125, authentication=1, requireGearheadProjectionOff=true, requireVehicleParked=false, requireDeviceIdle=false, minimumBatteryLevel=0, allowedDuringEnterpriseSetup=false, shouldApplyBudget=false, ignoreInstallHoldoff=false}\x18\x03""Ccom.google.android.finsky.installqueue.impl.InstallQueuePhoneskyJob(\xa6\xea\xb8\xfd\xac/2\x0f\x08\x00\x10\x80\xb8\x99)\x18\x02`\x02h\x01p\x01B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00J+\n)\n\nconstraint\x12\x1b*\x19\x08\x02\x10\x01(\x01@}H\x01P\x01X\x00`\x00h\x00p\x00x\x00\x80\x01\x00'",1341
3,0,12884903230,"b'\x08\xbe\n\x12\xd6\x02InstallConstraint{networkType=2, requireCharging=false, timeWindow=Optional.empty, provisionState=1, importanceThreshold=125, authentication=1, requireGearheadProjectionOff=true, requireVehicleParked=false, requireDeviceIdle=true, minimumBatteryLevel=50, allowedDuringEnterpriseSetup=false, shouldApplyBudget=true, ignoreInstallHoldoff=false}\x18\x03""Ccom.google.android.finsky.installqueue.impl.InstallQueuePhoneskyJob(\xa6\xea\xb8\xfd\xac/2\x0f\x08\x00\x10\x80\xb8\x99)\x18\x02`\x01h\x02p\x01B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00J+\n)\n\nconstraint\x12\x1b*\x19\x08\x02\x10\x00(\x01@}H\x01P\x01X\x01`\x00h2p\x00x\x01\x80\x01\x00'",1342
20,0,85922578243,"b'\x08\xc3\xfe\x89\x0b\x12\x12art-profile-upload\x18\x14""2com.google.android.finsky.art.ArtProfilesUploadJob(\xfa\xc9\xb8\xe7\xac/2\r\x10\x80\xdb\xbd\'\x18\x02`\x02h\x01p\x01B\t\x08\x9b\x87\xdf\xf2\xac/\x10\x00B\t\x08\xca\x82\xd9\xfb\xac/\x10\x00B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00X\x03'",23232323
26,0,113083291110,"b'\x08\xe6\xab\xa8\xa2\x05\x12\x0eflush-counters\x18\x1a""4com.google.android.finsky.flushlogs.FlushCountersJob(\x88\xca\x88\xfc\xac/2\x10\x08\x80\xdc\xcc\x14\x10\xa0\xd3\x83\x15`\x01h\x01p\x01P\x00X\x03'",1414141414
34,0,146028888351,"b'\x08\x9f\x02\x12\x13download_prefetches\x18""""@com.google.android.finsky.getprefetchrecommendations.PrefetchJob(\xd4\x80\x91\xe9\xac/2\x10\x08\x00\x10\x80\xc8\xfd\xe9\x04\x18\x02`\x02h\x02p\x012\x10\x08\x00\x10\x80\xc8\xfd\xe9\x04\x18\x02`\x01h\x02p\x02B\t\x08\x9b\x87\xdf\xf2\xac/\x10\x00B\t\x08\xca\x82\xd9\xfb\xac/\x10\x00B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00J-\n+\n\x0caccount_name\x12\x1b""\x19heisenbergcarro@gmail.com'",287
34,0,146028888356,"b'\x08\xa4\x02\x12\x13download_prefetches\x18""""@com.google.android.finsky.getprefetchrecommendations.PrefetchJob(\xd4\x80\x91\xe9\xac/2\x10\x08\x00\x10\x80\xc8\xfd\xe9\x04\x18\x02`\x02h\x02p\x012\x10\x08\x00\x10\x80\xc8\xfd\xe9\x04\x18\x02`\x01h\x02p\x02B\t\x08\x9b\x87\xdf\xf2\xac/\x10\x00B\t\x08\xca\x82\xd9\xfb\xac/\x10\x00B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00J-\n+\n\x0caccount_name\x12\x1b""\x19heisenbergcarro@gmail.com'",292
34,0,146028888359,"b'\x08\xa7\x02\x12\x13download_prefetches\x18""""@com.google.android.finsky.getprefetchrecommendations.PrefetchJob(\xd4\x80\x91\xe9\xac/2\x10\x08\x00\x10\x80\xc8\xfd\xe9\x04\x18\x02`\x02h\x02p\x012\x10\x08\x00\x10\x80\xc8\xfd\xe9\x04\x18\x02`\x01h\x02p\x02B\t\x08\x9b\x87\xdf\xf2\xac/\x10\x00B\t\x08\xca\x82\xd9\xfb\xac/\x10\x00B\t\x08\xb6\xcd\xba\xfd\xac/\x10\x00J-\n+\n\x0caccount_name\x12\x1b""\x19heisenbergcarro@gmail.com'",295
34,0,146028888360,"b'\x08\xa8\x02\x12\x13download_prefetches\x18""""@com.google.android.finsky.getprefetchrecommendations.PrefetchJob(\x92\x98\xdf\xf2\xac/2\x13\x08\xec\xfd\xe1%\x10\xec\xc5\xdf\x8f\x05\x18\x01`\x01h\x01p\x01J-\n+\n\x0caccount_name\x12\x1b""\x19heisenbergcarro@gmail.comP\x00X\x03'",296
