_id,media_id,sec_media_id,_data,volume_name,title,_display_name,bucket_id,bucket_display_name,group_id,_size,datetime,datetaken,date_modified,latitude,longitude,orientation,media_type,sef_file_type,mime_type,width,height,is_drm
4,42,2147483663,/storage/emulated/0/DCIM/Camera/20210515_200351.jpg,external_primary,20210515_200351,20210515_200351.jpg,-1739773001,Camera,2147483663,2570901,,1621123431436,1621123431,37.34928425,-80.53860747,0,1,-1,image/jpeg,4032,1908,0
5,43,2147483664,/storage/emulated/0/DCIM/Camera/20210515_200353.jpg,external_primary,20210515_200353,20210515_200353.jpg,-1739773001,Camera,2147483664,2471535,,1621123433874,1621123433,37.34929916,-80.53861445,0,1,-1,image/jpeg,4032,1908,0
6,44,2147483665,/storage/emulated/0/DCIM/Camera/20210515_200356.jpg,external_primary,20210515_200356,20210515_200356.jpg,-1739773001,Camera,2147483665,2285463,,1621123436903,1621123436,37.34929916,-80.53861445,0,1,-1,image/jpeg,4032,1908,0
7,45,2147483666,/storage/emulated/0/DCIM/Camera/20210515_200400.jpg,external_primary,20210515_200400,20210515_200400.jpg,-1739773001,Camera,2147483666,2744847,,1621123440729,1621123440,37.3492961,-80.53862147,0,1,-1,image/jpeg,4032,1908,0
8,46,2147483667,/storage/emulated/0/DCIM/Camera/20210515_201332.jpg,external_primary,20210515_201332,20210515_201332.jpg,-1739773001,Camera,2147483667,2093962,,1621124012280,1621124012,37.3492961,-80.5386215,0,1,-1,image/jpeg,4032,1908,0
9,48,2147483669,/storage/emulated/0/DCIM/Camera/20210519_205204.jpg,external_primary,20210519_205204,20210519_205204.jpg,-1739773001,Camera,2147483669,3536829,,1621471925147,1621471925,37.22382941,-80.41772989,90,1,-1,image/jpeg,4032,1908,0
10,59,2147483677,/storage/emulated/0/DCIM/Camera/20210606_175209.jpg,external_primary,20210606_175209,20210606_175209.jpg,-1739773001,Camera,2147483677,1904041,,1623016329348,1623016329,33.7478268,-78.808045,90,1,-1,image/jpeg,4032,1908,0
11,60,2147483678,/storage/emulated/0/DCIM/Camera/20210606_175210.jpg,external_primary,20210606_175210,20210606_175210.jpg,-1739773001,Camera,2147483678,1896380,,1623016331178,1623016331,33.7478268,-78.808045,90,1,-1,image/jpeg,4032,1908,0
12,61,2147483679,/storage/emulated/0/DCIM/Camera/20210606_175236.jpg,external_primary,20210606_175236,20210606_175236.jpg,-1739773001,Camera,2147483679,1888958,,1623016356515,1623016356,33.74782112,-78.80809286,90,1,-1,image/jpeg,4032,1908,0
13,62,2147483680,/storage/emulated/0/DCIM/Camera/20210606_175238.jpg,external_primary,20210606_175238,20210606_175238.jpg,-1739773001,Camera,2147483680,1985452,,1623016358577,1623016358,33.74782112,-78.80809286,90,1,-1,image/jpeg,4032,1908,0
14,63,2147483681,/storage/emulated/0/DCIM/Camera/20210606_175241.jpg,external_primary,20210606_175241,20210606_175241.jpg,-1739773001,Camera,2147483681,2393156,,1623016361500,1623016361,33.74782112,-78.80809286,90,1,-1,image/jpeg,4032,1908,0
15,64,2147483682,/storage/emulated/0/DCIM/Camera/20210606_175245.jpg,external_primary,20210606_175245,20210606_175245.jpg,-1739773001,Camera,2147483682,1851190,,1623016365933,1623016365,33.74782112,-78.80809286,90,1,-1,image/jpeg,4032,1908,0
16,66,2147483684,/storage/emulated/0/DCIM/Camera/20210606_205000.jpg,external_primary,20210606_205000,20210606_205000.jpg,-1739773001,Camera,2147483684,2598644,,1623027000955,1623027000,33.7968801,-78.7423786,0,1,-1,image/jpeg,4032,1908,0
17,67,2147483685,/storage/emulated/0/DCIM/Camera/20210606_205003.jpg,external_primary,20210606_205003,20210606_205003.jpg,-1739773001,Camera,2147483685,2554521,,1623027003740,1623027003,33.79691995,-78.74238262,0,1,-1,image/jpeg,4032,1908,0
18,68,2147483686,/storage/emulated/0/DCIM/Camera/20210606_205007.jpg,external_primary,20210606_205007,20210606_205007.jpg,-1739773001,Camera,2147483686,2560770,,1623027007513,1623027007,33.79691995,-78.74238262,0,1,-1,image/jpeg,4032,1908,0
19,69,2147483687,/storage/emulated/0/DCIM/Camera/20210606_205023.jpg,external_primary,20210606_205023,20210606_205023.jpg,-1739773001,Camera,2147483687,2646001,,1623027024299,1623027024,33.79691995,-78.74238262,90,1,-1,image/jpeg,4032,1908,0
20,70,2147483688,/storage/emulated/0/DCIM/Camera/20210606_205028.jpg,external_primary,20210606_205028,20210606_205028.jpg,-1739773001,Camera,2147483688,2576736,,1623027029201,1623027029,33.79687765,-78.7424652,90,1,-1,image/jpeg,4032,1908,0
21,71,2147483689,/storage/emulated/0/DCIM/Camera/20210606_205129.jpg,external_primary,20210606_205129,20210606_205129.jpg,-1739773001,Camera,2147483689,2343102,,1623027089629,1623027089,33.7968875,-78.7423983,90,1,-1,image/jpeg,4032,1908,0
22,72,2147483690,/storage/emulated/0/DCIM/Camera/20210606_212041.jpg,external_primary,20210606_212041,20210606_212041.jpg,-1739773001,Camera,2147483690,2315537,,1623028841904,1623028841,33.79685893,-78.74214511,0,1,-1,image/jpeg,4032,1908,0
23,73,2147483691,/storage/emulated/0/DCIM/Camera/20210606_212045.jpg,external_primary,20210606_212045,20210606_212045.jpg,-1739773001,Camera,2147483691,2531349,,1623028846074,1623028846,33.79685893,-78.74214511,90,1,-1,image/jpeg,4032,1908,0
24,76,2147483694,/storage/emulated/0/DCIM/Camera/20210606_212108.jpg,external_primary,20210606_212108,20210606_212108.jpg,-1739773001,Camera,2147483694,2603384,,1623028869026,1623028869,33.79685893,-78.74214511,0,1,-1,image/jpeg,4032,1908,0
25,102,2147483700,/storage/emulated/0/DCIM/Camera/20210703_192737.jpg,external_primary,20210703_192737,20210703_192737.jpg,-1739773001,Camera,2147483700,2628735,,1625354857721,1625354857,37.2249265,-80.4158043,0,1,0,image/jpeg,4608,2184,0
26,103,2147483701,/storage/emulated/0/DCIM/Camera/20210703_192751.jpg,external_primary,20210703_192751,20210703_192751.jpg,-1739773001,Camera,2147483701,1977026,,1625354871349,1625354871,37.2249265,-80.4158043,90,1,0,image/jpeg,4608,2184,0
27,104,2147483702,/storage/emulated/0/DCIM/Camera/20210703_192759.jpg,external_primary,20210703_192759,20210703_192759.jpg,-1739773001,Camera,2147483702,2188821,,1625354879736,1625354879,37.2249265,-80.4158043,90,1,0,image/jpeg,4608,2184,0
28,105,2147483703,/storage/emulated/0/DCIM/Camera/20210703_192806.jpg,external_primary,20210703_192806,20210703_192806.jpg,-1739773001,Camera,2147483703,1805348,,1625354886301,1625354886,37.2249265,-80.4158043,0,1,0,image/jpeg,4608,2184,0
29,106,2147483704,/storage/emulated/0/DCIM/Camera/20210703_192822.jpg,external_primary,20210703_192822,20210703_192822.jpg,-1739773001,Camera,2147483704,2575317,,1625354902574,1625354902,37.2249265,-80.4158043,0,1,0,image/jpeg,4608,2184,0
30,107,2147483705,/storage/emulated/0/DCIM/Camera/20210703_192830.jpg,external_primary,20210703_192830,20210703_192830.jpg,-1739773001,Camera,2147483705,1816544,,1625354911038,1625354911,37.2249265,-80.4158043,0,1,0,image/jpeg,4608,2184,0
31,108,2147483706,/storage/emulated/0/DCIM/Camera/20210703_192836.jpg,external_primary,20210703_192836,20210703_192836.jpg,-1739773001,Camera,2147483706,1900937,,1625354916936,1625354916,37.22491945,-80.41583973,0,1,0,image/jpeg,4608,2184,0
32,109,2147483707,/storage/emulated/0/DCIM/Camera/20210703_192839.jpg,external_primary,20210703_192839,20210703_192839.jpg,-1739773001,Camera,2147483707,1586638,,1625354919994,1625354919,37.2249307,-80.41588905,0,1,0,image/jpeg,4608,2184,0
33,110,2147483708,/storage/emulated/0/DCIM/Camera/20210703_192901.jpg,external_primary,20210703_192901,20210703_192901.jpg,-1739773001,Camera,2147483708,1900696,,1625354942225,1625354942,37.22490006,-80.41588391,90,1,0,image/jpeg,4608,2184,0
34,111,2147483709,/storage/emulated/0/DCIM/Camera/20210703_192907.jpg,external_primary,20210703_192907,20210703_192907.jpg,-1739773001,Camera,2147483709,1762448,,1625354948221,1625354948,37.22490047,-80.41588384,0,1,0,image/jpeg,4608,2184,0
35,112,2147483710,/storage/emulated/0/DCIM/Camera/20210703_200435.jpg,external_primary,20210703_200435,20210703_200435.jpg,-1739773001,Camera,2147483710,3136847,,1625357075697,1625357075,37.2249354,-80.4158318,90,1,0,image/jpeg,4032,1908,0
36,114,2147483712,/storage/emulated/0/DCIM/Camera/20210703_200440.jpg,external_primary,20210703_200440,20210703_200440.jpg,-1739773001,Camera,2147483712,3165843,,1625357080422,1625357080,37.22497254,-80.41583999,90,1,0,image/jpeg,4032,1908,0
37,115,2147483713,/storage/emulated/0/DCIM/Camera/20210703_200445.jpg,external_primary,20210703_200445,20210703_200445.jpg,-1739773001,Camera,2147483713,2608194,,1625357085931,1625357085,37.22497254,-80.41583999,0,1,0,image/jpeg,4032,1908,0
38,128,2147483722,/storage/emulated/0/DCIM/Camera/20210707_191202.jpg,external_primary,20210707_191202,20210707_191202.jpg,-1739773001,Camera,2147483722,4597060,,1625699522785,1625699522,37.22952882,-80.4188323,90,1,0,image/jpeg,4032,1908,0
39,129,2147483723,/storage/emulated/0/DCIM/Camera/20210707_191203.jpg,external_primary,20210707_191203,20210707_191203.jpg,-1739773001,Camera,2147483723,4434292,,1625699524150,1625699524,37.22952882,-80.4188323,90,1,0,image/jpeg,4032,1908,0
40,130,2147483724,/storage/emulated/0/DCIM/Camera/20210707_191213.jpg,external_primary,20210707_191213,20210707_191213.jpg,-1739773001,Camera,2147483724,1955870,,1625699534337,1625699534,37.22952882,-80.4188323,90,1,0,image/jpeg,4032,1908,0
41,131,2147483725,/storage/emulated/0/DCIM/Camera/20210707_191359.jpg,external_primary,20210707_191359,20210707_191359.jpg,-1739773001,Camera,2147483725,4378638,,1625699639330,1625699639,37.2312721,-80.418273,90,1,0,image/jpeg,4032,1908,0
42,132,2147483726,/storage/emulated/0/DCIM/Camera/20210707_191402.jpg,external_primary,20210707_191402,20210707_191402.jpg,-1739773001,Camera,2147483726,4778049,,1625699642460,1625699642,37.23055551,-80.4178367,90,1,0,image/jpeg,4032,1908,0
43,133,2147483727,/storage/emulated/0/DCIM/Camera/20210707_191411.jpg,external_primary,20210707_191411,20210707_191411.jpg,-1739773001,Camera,2147483727,5170269,,1625699651389,1625699651,37.23032327,-80.41773098,90,1,0,image/jpeg,4032,1908,0
