_id,conversation_id,message_id,text,content_uri,content_type,thumbnail_uri,file_name,sticker_id,size,bytes_transferred,width,height,orientation,webpreview_title,webpreview_image,webpreview_description,webpreview_url,webpreview_status,antiphishing_urls_risks,sef_type,search_text,_data,view_type
1,1,1,"<#> Your WhatsApp code: 506-924

You can also tap on this link to verify your phone: v.whatsapp.com/506924

Don't share this code with others
4sgLq1p5sV6",,text/plain,,,,,,,,,,,,,0,,0,,,0
2,2,2,"SIGNAL: Your code is: 470-828

doDiFGKPO1r",,text/plain,,,,,,,,,,,,,0,,0,,,0
3,3,3,"<#> Heisenberg, 7357 is your Venmo phone verification code. Enter it at venmo.com or in the Venmo app to verify your account. /xgtoYT3piw",,text/plain,,,,,,,,,,,,,0,,0,,,0
4,4,4,266781 is your Facebook for Android confirmation code,,text/plain,,,,,,,,,,,,,0,,0,,,0
5,5,5,<#> 1988 is your T-Mobile Tuesdays code. Enter it in the app to #GetThanked. r3LJoc8uXZB,,text/plain,,,,,,,,,,,,,0,,0,,,0
6,6,6,"Hey, I love this app for saving $ on gas. My code Z8H58 gets you a 15c/gal bonus. https://upside.app.link/21Lpw38Vnfb",,text/plain,,,,,,,,,,,,,0,,0,,,0
7,7,7,T-Mobile: There are safety measures you can take in anticipation of emergencies and disasters and a list of efforts T-Mobile is taking to keep our network operational during such events. For info: https://cawirelessemergencyprep.com/,,text/plain,,,,,,,,,,,,,0,,0,,,0
8,8,8,<#> Snapchat Code: 843757. Happy Snapping! qunyt57f5Rf,,text/plain,,,,,,,,,,,,,0,,0,,,0
9,6,9,"Thought you might be interested in this CarGurus listing:
2018 Honda CR-V Touring AWD - $22,894 (Great Deal)
Mileage: 78,126 Location: West Caldwell, NJ
https://www.cargurus.com/Cars/link/302547009",,text/plain,,,,,,,,,,,,,0,,0,,,0
10,6,10,"Thought you might be interested in this CarGurus listing:
2017 Honda CR-V EX-L AWD - $21,495 (Great Deal)
Mileage: 62,315 Location: York, PA
https://www.cargurus.com/Cars/link/298601924",,text/plain,,,,,,,,,,,,,0,,0,,,0
11,6,11,"Thought you might be interested in this CarGurus listing:
2017 Honda CR-V EX-L AWD - $22,507 (Great Deal)
Mileage: 47,304 Location: Norfolk, VA
https://www.cargurus.com/Cars/link/304225669",,text/plain,,,,,,,,,,,,,0,,0,,,0
12,6,12,"Thought you might be interested in this CarGurus listing:
2017 Honda CR-V EX-L AWD - $19,795 (Great Deal)
Mileage: 76,065 Location: Coraopolis, PA
https://www.cargurus.com/Cars/link/306608227",,text/plain,,,,,,,,,,,,,0,,0,,,0
13,9,13,"Hey, thanks for calling, I will look up the inventory and get back to you in a few mins.",,text/plain,,,,,,,,,,,,,0,,0,,,0
14,9,14,Great!,,text/plain,,,,,,,,,,,,,0,,0,,,0
15,9,15,"Just to make sure, you wanted a Hyundai right?",,text/plain,,,,,,,,,,,,,0,,0,,,0
16,9,16,Yes that is right! The newer the better.,,text/plain,,,,,,,,,,,,,0,,0,,,0
17,9,17,"And just to be safe, can you tell me where you got my reference from?",,text/plain,,,,,,,,,,,,,0,,0,,,0
18,9,18,"Oh, it was one of my friends down in North Carolina who saw your Craigslist postings and mentioned it to me.",,text/plain,,,,,,,,,,,,,0,,0,,,0
19,9,19,"Uhh ok, I guess I can work with that.",,text/plain,,,,,,,,,,,,,0,,0,,,0
20,9,20,👍🏻,,text/plain,,,,,,,,,,,,,0,,0,,,0
21,9,21,"So, I checked and I still have a Hyundai Sonata, its probably a 2015, would you be interested?",,text/plain,,,,,,,,,,,,,0,,0,,,0
22,9,22,Sure! Send me pictures and some info,,text/plain,,,,,,,,,,,,,0,,0,,,0
