packageName,user,version,patchable
com.google.android.gms.auth_api_proxy,,219,
com.google.android.client_error_logging,,229,
com.google.android.gms.easysignin,,2,
com.google.android.gms.photos,,1,
com.google.android.gms.walletp2p.v2,,236,
com.google.android.gms.phonesky_recovery,,1,
com.google.android.gms.icing.mdh,,99999,
com.google.android.gms.firebase.auth,,218,
com.google.android.gms.rcs,,5,
com.google.android.gms.analytics,,211,
com.google.android.libraries.personalization.footprints#com.google.android.gms,,271,
com.google.android.gms.subscribedfeeds,,1400,
alt.com.google.android.gms,,212,
com.google.android.gms.common.download,,212,
com.google.android.gms.appstate,,204,
com.google.android.gms.trustlet_voiceunlock,,204,
com.google.android.gms.reachability,,227,
com.google.android.gms.payse,,1,
com.google.android.gms.recaptcha,,1,
com.google.android.gms.appintegrity,,1,
com.google.android.setupwizard,heisenbergcarro@gmail.com,7399,
org.chromium.net.cronet,,1411,
com.google.android.libraries.consentverifier#com.google.android.gms,,212,
com.google.android.gms.family,,228,
com.google.android.gms.smart_profile,,340,
com.google.android.gms.udc,,226,
com.google.android.gms.appinvite,,208,
com.google.android.gms.auth_api_early_update,,4,
com.google.android.gms.trustlet_onbody,,203,
com.google.android.gms.usagereporting,,214,
com.google.android.gms.fonts,,232,
com.google.android.gms.beacon,,232,
com.google.android.gms.dck,,1,
com.google.android.gms.mobile_data_plan,,20450,
com.google.android.gms.herrevad,,32050,
com.google.android.libraries.onegoogle#com.google.ar.core,,210260603,
com.google.android.gms.drive,,215,
com.google.android.libraries.social.peoplekit#com.google.android.apps.maps.client_id:36,heisenbergcarro@gmail.com,295638841,
com.google.android.gms.auth.easyunlock,,227,
com.google.android.gms.languageprofile,,202,
com.google.android.gms.mdisync,,1,
com.google.android.libraries.lens.nbu.device#com.google.android.googlequicksearchbox,,301117632,
com.google.android.apps.search.transcription.uiuser#com.google.android.googlequicksearchbox,heisenbergcarro@gmail.com,301117632,
com.google.android.libraries.lens.nbu.user#com.google.android.googlequicksearchbox,heisenbergcarro@gmail.com,301117632,
com.google.android.apps.search.transcription.user#com.google.android.googlequicksearchbox,heisenbergcarro@gmail.com,301117632,
com.google.android.gm,,62209006,
com.google.apps.tasks.shared.android#com.google.android.gm,,371596874,
com.google.android.libraries.onegoogle#com.google.android.gm,,62672760,
com.google.android.mainline.release,,229,
com.google.apps.projector.android#com.google.android.apps.docs,,212010740,
com.google.android.libraries.onegoogle#com.google.android.apps.docs,,212010740,
com.google.android.gms.telephonyspam,,216,
com.google.android.gms.panorama,,1,
com.google.android.libraries.surveys#com.google.android.gm,,62672760,
com.google.android.libraries.surveys#com.google.android.projection.gearhead,,64611714,
com.google.android.libraries.surveys,,212116000,
com.google.android.gms.signin,,26000,
com.google.android.gms.auth_authzen,,26000,
com.google.android.gms.chromesync,,26000,
com.google.android.platform.rotation_resolver_service,,332,
com.google.android.libraries.user.peoplesheet#com.google.android.gm,,62672760,
com.google.android.gms.magictether,,227,
com.google.android.gms.clearcut.public,,229,
com.google.android.libraries.surveys#com.google.android.apps.photos,,39835085,
com.google.android.libraries.onegoogle#com.google.android.apps.photos,,39835085,
com.google.android.libraries.onegoogle#com.google.android.youtube,,1521601984,
com.google.android.apps.gmm.recovery#com.google.android.apps.maps,,1065955796,
