pkgName,categoryCode,defaultSetBy,pkgAddedTime,serverPkgUpdatedTime,eachModeTargetShortSide,eachModeDss,customResolutionMode,customDss,eachModeDfs,customDfsMode,customDfs,defaultCpuLevel,defaultGpuLevel,governorSettings,shiftTemperature,ipmPolicy,siopModePolicy,customSiopMode,gameSdkSettings,sosPolicy,resumeBoostPolicy,launchBoostPolicy,wifiQosPolicy,subscriberList,gfiPolicy,tspPolicy,appliedDss,appliedCpuLevel,appliedGpuLevel,versionName,versionCode,vrrMaxValue,vrrMinValue,targetGroupName
app.cartomizer,non-game,0,1623993359642,1626448094408,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
app.greyshirts.sslcapture,non-game,0,1617777812562,1626448094416,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
catching.cheatingspouseapp.app,non-game,0,1623778918495,1626448094408,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.android.chrome,non-game,0,1617476955701,1626448094410,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,-6,-2,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.android.settings,non-game,0,1617476955706,1626448094414,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,-6,-2,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.android.traceur,non-game,0,1617476955704,1626448094408,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,-6,-2,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.androidrocker.voicechanger,non-game,0,1623778846581,1626448094404,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.antispycell.free,non-game,0,1623779031154,1626448094410,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.app.tgtg,non-game,0,1621564141006,1626448094417,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.autotrader.android,non-game,0,1623992997983,1626448094408,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.beenverified.android,non-game,0,1622599092916,1626448094409,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.carfax.consumer,non-game,0,1623992979137,1626448094423,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.cargurus.mobileApp,non-game,0,1623992989079,1626448094426,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.duckduckgo.mobile.android,non-game,0,1617478894225,1626448094406,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.facebook.katana,non-game,0,1617476955699,1626448094410,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,-6,-2,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.facebook.orca,non-game,0,1617478221293,1626448094406,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.flatfish.cal.privacy,non-game,0,1623779301687,1626448094409,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.google.android.apps.docs,non-game,0,1617477844346,1626448094422,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.google.android.apps.maps,non-game,0,1617476955694,1626448094427,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,-6,-2,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.google.android.apps.photos,non-game,0,1617477895703,1626448094421,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
com.google.android.apps.tachyon,non-game,0,1617503588346,1626448094418,"-1,-1,-1,-1","-1f,-1f,-1f,-1f",1,75.0,"-1f,-1f,-1f,-1f",1,60.0,0,0,,-1000,,,1,,,,,,,,,0.0,0,0,,-1,-1,-1,
