event_id,entity_type,entity_version,trigger_time,blob
375,0,0,1625809786376,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \x88\xac\xc2\xce\xa8/'
376,0,0,1625855755728,b'\x08\x01\x12@\n\x13com.carfax.consumer\x12%com.carfax.consumer.NewSearchActivity\x18\x00(\x01\x1a\x014 \xd0\x8b\xb8\xe4\xa8/'
377,0,0,1625855775837,b'\x08\x01\x12C\n\x16com.cargurus.mobileApp\x12%com.cargurus.mobileApp.SplashActivity\x18\x00(\x01\x1a\x014 \xdd\xa8\xb9\xe4\xa8/'
378,0,0,1625931581379,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \xc3\x8f\xcc\x88\xa9/'
380,0,0,1626287898262,b'\x08\x01\x12L\n\x1aorg.thoughtcrime.securesms\x12*org.thoughtcrime.securesms.RoutingActivity\x18\x00(\x01\x1a\x014 \x96\xfd\xbf\xb2\xaa/'
381,0,0,1626287986066,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \x92\xab\xc5\xb2\xaa/"""
382,0,0,1626287990970,b'\x08\x01\x12L\n\x1aorg.thoughtcrime.securesms\x12*org.thoughtcrime.securesms.RoutingActivity\x18\x00(\x01\x1a\x014 \xba\xd1\xc5\xb2\xaa/'
383,0,0,1626288013713,b'\x08\x01\x12D\n\x14com.snapchat.android\x12(com.snapchat.android.LandingPageActivity\x18\x00(\x01\x1a\x014 \x91\x83\xc7\xb2\xaa/'
385,0,0,1626288051116,b'\x08\x01\x12N\n\x18com.zhiliaoapp.musically\x12.com.ss.android.ugc.aweme.splash.SplashActivity\x18\x00(\x01\x1a\x014 \xac\xa7\xc9\xb2\xaa/'
386,0,0,1626293404186,b'\x08\x01\x12N\n\x18com.zhiliaoapp.musically\x12.com.ss.android.ugc.aweme.splash.SplashActivity\x18\x00(\x01\x1a\x014 \x9a\x84\x90\xb5\xaa/'
387,0,0,1626732540413,"b'\x08\x01\x12N\n\x1acom.samsung.android.dialer\x12,com.samsung.android.dialer.DialtactsActivity\x18\x00(\x01\x1a\x011 \xfd\xe3\xc2\x86\xac/'"
388,0,0,1626732871899,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xdb\x81\xd7\x86\xac/"""
389,0,0,1626732877434,"b'\x08\x01\x12N\n\x1acom.samsung.android.dialer\x12,com.samsung.android.dialer.DialtactsActivity\x18\x00(\x01\x1a\x011 \xfa\xac\xd7\x86\xac/'"
390,0,0,1626733553809,b'\x08\x01\x12N\n\x18com.zhiliaoapp.musically\x12.com.ss.android.ugc.aweme.splash.SplashActivity\x18\x00(\x01\x1a\x014 \x91\xd1\x80\x87\xac/'
391,0,0,1626734195957,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xf5\xe9\xa7\x87\xac/"""
392,0,0,1626741755866,b'\x08\x01\x12C\n\x16com.cargurus.mobileApp\x12%com.cargurus.mobileApp.SplashActivity\x18\x00(\x01\x1a\x014 \xda\x9f\xf5\x8a\xac/'
393,0,0,1626742552870,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xa6\xf2\xa5\x8b\xac/"""
394,0,0,1626748862509,b'\x08\x01\x12C\n\x16com.cargurus.mobileApp\x12%com.cargurus.mobileApp.SplashActivity\x18\x00(\x01\x1a\x014 \xad\x80\xa7\x8e\xac/'
395,0,0,1626806604860,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xbc\xa8\xeb\xa9\xac/"""
396,0,0,1626807729114,b'\x08\x01\x12C\n\x1acom.sec.android.app.camera\x12!com.sec.android.app.camera.Camera\x18\x00(\x01\x1a\x011 \xda\xf7\xaf\xaa\xac/'
397,0,0,1626807872233,b'\x08\x01\x12V\n\x1ecom.google.android.apps.photos\x120com.google.android.apps.photos.home.HomeActivity\x18\x00(\x01\x1a\x014 \xe9\xd5\xb8\xaa\xac/'
398,0,0,1626812011150,"b'\x08\x01\x12N\n\x1acom.samsung.android.dialer\x12,com.samsung.android.dialer.DialtactsActivity\x18\x00(\x01\x1a\x011 \x8e\xa5\xb5\xac\xac/'"
399,0,0,1626812013989,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xa5\xbb\xb5\xac\xac/"""
400,0,0,1626812021083,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xdb\xf2\xb5\xac\xac/"""
401,0,0,1626812029764,b'\x08\x01\x12%\n\x0ccom.whatsapp\x12\x11com.whatsapp.Main\x18\x00(\x01\x1a\x014 \xc4\xb6\xb6\xac\xac/'
402,0,0,1626812115132,"b""\x08\x01\x12L\n\x1dcom.samsung.android.messaging\x12'com.android.mms.ui.ConversationComposer\x18\x00(\x01\x1a\x011 \xbc\xd1\xbb\xac\xac/"""
403,0,0,1626812946530,b'\x08\x01\x12K\n\x15com.instagram.android\x12.com.instagram.android.activity.MainTabActivity\x18\x00(\x01\x1a\x014 \xe2\xb0\xee\xac\xac/'
404,0,0,1626884209770,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \xea\xf8\xeb\xce\xac/'
405,0,0,1626889222930,b'\x08\x01\x12H\n\x1ccom.google.android.apps.maps\x12$com.google.android.maps.MapsActivity\x18\x00(\x01\x1a\x014 \x92\xf6\x9d\xd1\xac/'
406,0,0,1626891750774,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \xf6\x9a\xb8\xd2\xac/'
407,0,0,1626892842390,b'\x08\x01\x12H\n\x1ccom.google.android.apps.maps\x12$com.google.android.maps.MapsActivity\x18\x00(\x01\x1a\x014 \x96\xeb\xfa\xd2\xac/'
408,0,0,1626892879029,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \xb5\x89\xfd\xd2\xac/'
409,0,0,1626896358803,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \x93\xbb\xd1\xd4\xac/'
410,0,0,1626916627154,b'\x08\x01\x12H\n\x1ccom.google.android.apps.maps\x12$com.google.android.maps.MapsActivity\x18\x00(\x01\x1a\x014 \xd2\xc5\xa6\xde\xac/'
411,0,0,1626916689592,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \xb8\xad\xaa\xde\xac/'
412,0,0,1626917141786,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \x9a\xfa\xc5\xde\xac/'
413,0,0,1626917750285,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \x8d\x8c\xeb\xde\xac/'
414,0,0,1626918459654,b'\x08\x01\x12]\n\x1acom.google.android.youtube\x12;com.google.android.youtube.app.honeycomb.Shell$HomeActivity\x18\x00(\x01\x1a\x014 \x86\xb2\x96\xdf\xac/'
