pkg_name,week_day,pkg_last_use,pkg_use_count,pkg_sub_use_count,timeslot_count_1,timeslot_count_2,timeslot_count_3,timeslot_count_4
com.sec.android.app.launcher,false,1617477830,1,0,0,1,0,0
com.android.vending,false,1618197296,11,0,0,3,1,7
com.google.android.setupwizard,false,1617478169,3,0,0,3,0,0
com.facebook.katana,false,1618770419,6,0,0,1,1,4
com.samsung.android.honeyboard,false,1617502281,1,0,0,0,0,1
com.android.settings,false,1618696785,7,0,0,0,1,6
com.google.android.gm,false,1618078768,5,0,0,1,0,4
com.android.chrome,false,1618197295,8,0,0,0,0,8
com.whatsapp,false,1617511029,1,0,0,0,0,1
com.google.android.googlequicksearchbox,false,1617511037,1,0,0,0,0,1
com.sec.android.daemonapp,false,1618093326,4,0,0,0,2,2
com.samsung.android.messaging,false,1618197290,2,0,0,0,0,2
gov.vdh.exposurenotification,false,1617511433,1,0,0,0,0,1
com.twitter.android,false,1618090980,7,0,0,3,1,3
org.thoughtcrime.securesms,false,1618090967,5,0,0,2,1,2
com.snapchat.android,false,1618078802,2,0,0,1,0,1
com.instagram.android,false,1618093374,4,0,0,1,1,2
com.samsung.android.app.smartcapture,false,1617591805,1,0,0,0,0,1
com.google.android.youtube,false,1618696790,4,0,0,2,1,1
com.google.android.apps.photos,false,1617594999,1,0,0,0,0,1
com.zhiliaoapp.musically,false,1618093473,3,0,0,1,2,0
com.tmobile.tuesdays,false,1618090899,2,0,0,1,1,0
app.greyshirts.sslcapture,false,1618077998,2,0,0,2,0,0
com.samsung.android.dialer,false,1618078701,1,0,0,1,0,0
com.netflix.mediaclient,false,1618078703,1,0,0,1,0,0
com.sec.android.gallery3d,false,1618078722,1,0,0,1,0,0
com.sec.android.app.camera,false,1618199747,2,0,0,1,0,1
com.venmo,false,1618078927,1,0,0,1,0,0
com.linkedin.android,false,1618193890,1,0,0,0,0,1
com.samsung.android.bixby.agent,false,1618193926,1,0,0,0,0,1
com.google.android.apps.maps,false,1618696605,1,0,0,0,1,0
com.upside.consumer.android,false,1618770356,1,0,0,1,0,0
com.wssyncmldm,true,1620202501,6,0,5,0,0,1
com.google.android.gm,true,1620202416,1,0,1,0,0,0
