id,user_text,url,number_of_hits,number_of_misses
b73969e8-4034-49bd-bbf9-4a5c82aaf3b3,i,https://www.google.com/search?q=i&oq=i&aqs=chrome..69i57j69i59i450j69i59l2j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
a9ded80e-5a0d-44c6-baff-889b094f3f2b,i,https://www.google.com/search?q=cheap+obd+scanner&oq=&aqs=chrome.1.69i57j69i59i450j69i59l2j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
10464e9b-337a-46aa-92f7-dcdcf303938e,i,https://www.google.com/search?q=italianos+blacksburg&oq=i&aqs=chrome.2.69i57j69i59i450j69i59l2j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
1d42de15-d3ac-4c12-97eb-3a9ba8d04768,i,https://www.google.com/search?q=italianos+near+me&oq=i&aqs=chrome.3.69i57j69i59i450j69i59l2j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
28e2343a-44b1-4724-b720-8545c6ab66a1,i,"https://hotels.tmobiletravel.com/details?id=1485984&region=34790&query=Myrtle%20Beach%20Boardwalk%20and%20Promenade,%20Myrtle%20Beach,%20SC,%20USA&latitude=33.689454&longitude=-78.881515&checkIn=06%2F05%2F2021&checkOut=06%2F09%2F2021&adults=1&rooms=1&currency=USD&program=tmobile&mode=disc&searchId=705ac1fe-d78d-431f-b499-a059d2fdbeb9&dAvePrice=192",0,1
b4011aff-2249-4dcf-b4c6-031c2e390957,i,https://www.google.com/search?q=i&oq=i&aqs=chrome..69i57j69i59l2j0i271j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
f6f6c89c-b968-45bf-97b0-3785e9ee1171,i,https://www.google.com/search?q=italianos+blacksburg&oq=i&aqs=chrome.1.69i57j69i59l2j0i271j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
b1fdfd15-f289-43c4-99e2-71101af04111,i,https://www.google.com/search?q=italianos+near+me&oq=i&aqs=chrome.2.69i57j69i59l2j0i271j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
6704c8c7-17f6-4d3e-a51c-fcb23b642a33,i,https://www.google.com/search?q=irs&oq=i&aqs=chrome.3.69i57j69i59l2j0i271j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
a17003c1-4f1f-44f2-9d1f-22978ab24d6a,i,https://www.google.com/search?q=i&oq=i&aqs=chrome..69i57j46i131i433j0i131i433j46i199i291i433j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
b685d95f-b819-4b1d-b04a-387a1a377331,i,https://www.google.com/search?gs_ssp=eJzj4tDP1TdIKTbKM2D0EsjMS0ktSAUSecmpCimJlQB9xwlQ&q=independence+day&oq=i&aqs=chrome.1.69i57j46i131i433j0i131i433j46i199i291i433j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
c66a8662-785b-48eb-803c-7708385a071e,i,https://www.google.com/search?q=instagram&oq=i&aqs=chrome.2.69i57j46i131i433j0i131i433j46i199i291i433j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
9f81dde7-c366-4d6f-b0fd-04e916c6d8ea,i,https://www.google.com/search?gs_ssp=eJzj4tDP1TcwrjK0VGA0YHRg8GLOLCoGACqRBFI&q=irs&oq=i&aqs=chrome.3.69i57j46i131i433j0i131i433j46i199i291i433j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
b03a9b3e-16c7-4e12-845a-555b41591a1d,in,https://www.google.com/search?q=in&oq=in&aqs=chrome..69i57j46i131i433j0i131i433j46i199i291i433j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
ec1808e9-6f07-4a53-b975-c91575ee4ea7,in,https://www.google.com/search?gs_ssp=eJzj4tDP1TdIKTbKM2D0EsjMS0ktSAUSecmpCimJlQB9xwlQ&q=independence+day&oq=in&aqs=chrome.1.69i57j46i131i433j0i131i433j46i199i291i433j69i60&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,0,1
