_id,settings_key,settings_value,settings_type
1,pp_agreed_version,,string
2,quick_connect_cloud_uid,,string
3,quick_connect_cloud_access_token,,string
4,quick_connect_cloud_access_token_expires_in,,string
5,quick_connect_cloud_access_token_issue_time,,string
6,quick_connect_cloud_refresh_token,,string
7,quick_connect_cloud_refresh_token_expires_in,,string
8,quick_connect_cloud_refresh_token_issue_time,,string
9,quick_connect_cloud_api_server_url,,string
10,quick_connect_cloud_auth_server_ulr,,string
11,key_user_country_iso3,,string
12,quick_connect_cloud_mode_running,false,boolean
13,quick_connect_cloud_device_id,,string
14,quick_connect_cloud_server_host_name,,string
15,quick_connect_last_account_name,,string
16,tariff_kit,,string
17,key_voda_user,false,boolean
18,samsung_account_expired,false,boolean
19,quick_connect_ambient_setting_value,false,boolean
20,quick_connect_tap_view_setting_value,false,boolean
21,quick_connect_smart_view_setting_value,false,boolean
22,fcm_token,"02Hq9PpWm+G5gRLxJRSYGnyrvuth/fSC5ofFJ01ilIBNswQsc4nHB8cNQQ5bzQV9BQAGRS80U1Jo
qEnKAWT1HxBKCZ5nlMnUJI2/e2TJQ6uJKUnWnW3cDXlHlSjDBiDQV5MuYMa6dWBbqo8MqI7Tmigj
t4ODc1wzjbe18LqBGhlxsYjzT6xg8DUHhSiLcxYXn5griFvCEGuEMreVl6hJxC9ptCf8B/uRBhkH
18W1tmHSf351Wh9JezKU4wHA8Guv
",string
23,quick_connect_cloud_push_state,true,boolean
24,quick_connect_need_cloud_set_device_profile,true,boolean
25,quick_connect_need_st_migration,true,boolean
26,two_step_verification_not_now_selected_time,,string
