_id,value
com.urbanairship.application.device.PLATFORM,2
com.urbanairship.application.device.PUSH_PROVIDER,class com.urbanairship.push.fcm.FcmPushProvider
com.urbanairship.push.PENDING_TAG_GROUP_MUTATIONS,[]
com.urbanairship.nameduser.PENDING_TAG_GROUP_MUTATIONS_KEY,[]
com.urbanairship.push.PUSH_ENABLED,true
com.urbanairship.push.PUSH_ENABLED_SETTINGS_MIGRATED,true
com.urbanairship.push.PUSH_DELIVERY_TYPE,fcm
com.urbanairship.iam.data.NEW_USER_TIME,1621789922185
com.urbanairship.application.device.LIBRARY_VERSION,14.1.1
com.urbanairship.DATA_COLLECTION_ENABLED,true
com.urbanairship.push.USER_NOTIFICATIONS_ENABLED,true
com.urbanairship.push.PUSH_TOKEN_REGISTRATION_ENABLED,true
airshipComponent.enable_com.urbanairship.z.a,true
airshipComponent.enable_com.urbanairship.automation.f,true
airshipComponent.enable_com.urbanairship.f0.t,true
airshipComponent.enable_com.urbanairship.c0.a,true
airshipComponent.enable_com.urbanairship.c0.j,true
airshipComponent.enable_com.urbanairship.messagecenter.g,true
airshipComponent.enable_com.urbanairship.push.i,true
com.urbanairship.remotedata.FOREGROUND_REFRESH_INTERVAL,0
com.urbanairship.push.REGISTRATION_TOKEN_KEY,coI3EiBMScOt_yOcrO39Iy:APA91bGtaOdORKAhpplD2QWFkjBD41ji3irNH91MS6h9HJA6rjhwAaopTcD-IigSwvmOoiQn5ahVh71WiQvuM1ciGV7-UAyfltidea46Wov75JDygBWp_BirWuSf2d2w9EUJScED17ay
com.urbanairship.iam.tags.FETCH_ENABLED,true
com.urbanairship.iam.tags.TAG_STALE_READ_TIME,3600000
com.urbanairship.iam.tags.TAG_PREFER_LOCAL_DATA_TIME,600000
com.urbanairship.iam.tags.TAG_CACHE_MAX_AGE_TIME,600000
com.urbanairship.push.CHANNEL_ID,2e73e951-2a33-48ad-86b5-da305f4d4afd
com.urbanairship.user.LAST_UPDATE_TIME,1621789955458
com.urbanairship.user.REGISTERED_CHANNEL_ID,2e73e951-2a33-48ad-86b5-da305f4d4afd
com.urbanairship.user.ID,hiOO0jz3Q_-xJJG7RQxiLg
com.urbanairship.user.USER_TOKEN,3d38170a7a0d300b032c5c1e0727096311354c060410
com.urbanairship.analytics.MAX_TOTAL_DB_SIZE,5242880
com.urbanairship.analytics.MAX_BATCH_SIZE,512000
com.urbanairship.analytics.MIN_BATCH_INTERVAL,60000
com.urbanairship.remotedata.LAST_REFRESH_METADATA,"{""sdk_version"":""14.1.1"",""country"":""US"",""language"":""en""}"
com.urbanairship.config.REMOTE_CONFIG_KEY,"{""device_api_url"":""https:\/\/device-api.urbanairship.com"",""analytics_url"":""https:\/\/combine.urbanairship.com"",""wallet_url"":""https:\/\/wallet-api.urbanairship.com""}"
