detect_time,uid,package_name,anomaly_type,action_type,auto_restriction
1626923680295,10302,com.zhiliaoapp.musically,16,kill,0
1626978239504,10323,com.antispycell.free,32,deepSleep,1
1626978239732,10322,catching.cheatingspouseapp.app,32,deepSleep,1
1626978239902,10313,com.google.tango.measure,32,deepSleep,1
1626978239994,10287,com.microsoft.office.outlook,32,deepSleep,1
1626978240172,10134,com.beenverified.android,32,deepSleep,1
1626978240195,10285,com.google.android.music,32,deepSleep,1
1626978240251,10321,com.androidrocker.voicechanger,32,deepSleep,1
1626978240271,10325,com.ea.game.nfs14_row,32,deepSleep,1
1626978240373,10283,com.google.android.apps.docs,32,deepSleep,1
1626978240439,10324,com.flatfish.cal.privacy,32,deepSleep,1
1626978240466,10328,com.autotrader.android,32,deepSleep,1
1626978240498,10284,com.google.android.videos,32,deepSleep,1
1626978240524,10311,app.greyshirts.sslcapture,32,deepSleep,1
1626978240548,10298,com.spotify.music,32,deepSleep,1
1626978240576,10289,com.microsoft.office.officehubrow,32,deepSleep,1
1626978240609,10288,com.linkedin.android,32,deepSleep,1
1626978240634,10304,com.duckduckgo.mobile.android,32,deepSleep,1
1626978240681,10318,com.instantcheckmate.app,32,deepSleep,1
1626981934802,10284,com.google.android.videos,32,sleep,1
