prefix,_key,value,value_type,collection_type
com.google.android.apps.photos.mediastorescanner,current_version_1,1,2,1
com.google.android.apps.photos.mediastore,prev_media_store_version,1203:4bddd755-1902-451d-806d-d0e0cc8d303e,1,1
com.google.android.apps.photos.devicesetup.SetDeviceSetupCompleteTimeTask,device_setup_complete_time_ms,1620249217972,3,1
com.google.android.apps.photos.mediastore.cleaner.MediaStoreThumbnailCleaner.CleanMediaStoreThumbnailsTask,is_complete,1,5,1
com.google.android.apps.photos.photofragment.components.photobar.PhotoActionBarViewModel,labelFirstShownMillis,1620249220731,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_32_32,newest_media_store_id,55,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_32_32,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_32_32,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_32_32,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_32_32,newest_generation_modified,237,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_32_32,newest_media_store_id,55,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_32_32,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_32_32,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_32_32,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_32_32,newest_generation_modified,237,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension40,newest_media_store_id,55,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension40,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension40,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension40,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension40,newest_generation_modified,237,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_45_32,newest_media_store_id,55,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_45_32,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_45_32,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_45_32,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_45_32,newest_generation_modified,237,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_SECONDARY_12_45_32,newest_media_store_id,55,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_SECONDARY_12_45_32,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_SECONDARY_12_45_32,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_SECONDARY_12_45_32,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_SECONDARY_12_45_32,newest_generation_modified,237,3,1
com.google.android.apps.photos.scheduler,last_work_override_time,1625508556691,3,1
com.google.android.apps.photos.printingskus.geofence.GeoFenceRestrictionsCache,geo_fence_decision,1,2,1
com.google.android.apps.photos.printingskus.geofence.GeoFenceRestrictionsCache,expiry_time,1626894273829,3,1
com.google.android.apps.photos.videoplayer.volumelevel.ReadWriteKeyStoreVolumeLevelTask,volume_level_key,1,2,1
com.google.android.apps.photos.analytics.PhotosMetalogPostProcessor,heisenbergcarro@gmail.com,779,3,1
com.google.android.apps.photos.scheduler,current_cycle_lpbj_start_time,1626916363594,3,1
com.google.android.apps.photos.mapexplore.exiftrigger,previous_guessed_camera_setting,1,2,1
com.google.android.apps.photos.gallerydetector.logger.defaultgallerybehaviorlogging,review_intent_count_key,0,2,1
com.google.android.apps.photos.gallerydetector.logger.defaultgallerybehaviorlogging,last_media_timestamp_key,1626807814000,3,1
com.google.android.apps.photos.gallerydetector.logger.defaultgallerybehaviorlogging,last_media_timestamp_offset_key,-14400000,3,1
com.google.android.apps.photos.trash.cleanup.LocalTrashCleanupTask,last_ran_timestamp,1626916364735,3,1
com.google.android.apps.photos.scheduler,last_lpbj_completion_time,1626916364789,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_33_33,newest_media_store_id,137,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_33_33,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_33_33,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_33_33,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_INITIAL_12_33_33,newest_generation_modified,650,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_33_33,newest_media_store_id,137,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_33_33,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_33_33,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_33_33,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_0_INITIAL_12_33_33,newest_generation_modified,650,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension41,newest_media_store_id,137,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension41,newest_date_modified_seconds,-1,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension41,oldest_generation_modified,132,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension41,oldest_media_store_id,24,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.mediastoreextras.MediaStoreExtension41,newest_generation_modified,650,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_46_33,newest_media_store_id,137,3,1
com.google.android.apps.photos.mediastorescanner1com.google.android.apps.photos.photosmediastoresync.AllPhotosScanConsumer_-1_SECONDARY_12_46_33,newest_date_modified_seconds,-1,3,1
