ID_A,STICKER_ITEMS_ID,LOCALES,STRING,EXTRA_A1,EXTRA_A2,EXTRA_A3
1,1,en,Scared fox,,,
2,1,en_US,Scared fox,,,
3,1,en_CA,Scared fox,,,
4,1,sq_AL,Dhelpra e trembur,,,
5,1,ar,الثعلب خائف,,,
6,1,hy_AM,Վախեցած աղվես,,,
7,1,as,ভয় খোৱা শিয়াল,,,
8,1,az_AZ,Qorxmuş tülkü,,,
9,1,eu_ES,Azeria beldurtuta,,,
10,1,be_BY,Напалоханая ліса,,,
11,1,bn_IN,ভীত শিয়াল,,,
12,1,bn_BD,ভীত শিয়াল,,,
13,1,bs,Uplašena lisica,,,
14,1,bg,Уплашена лисица,,,
15,1,ca,Guineu espantada,,,
16,1,zn_CN,害怕的狐狸,,,
17,1,zn_HK,驚恐的狐狸,,,
18,1,zn_TW,受驚的狐狸,,,
19,1,hr,Preplašena lisica,,,
20,1,cs,Vyděšená liška,,,
21,1,da,Bange ræv,,,
22,1,nl,Bange vos,,,
23,1,et_EE,Hirmul rebane,,,
24,1,fa,روباه ترسیده,,,
25,1,tl,Takot na fox,,,
26,1,fi,Pelästynyt kettu,,,
27,1,fr,Renard effrayé,,,
28,1,fr_CA,Renard effrayé,,,
29,1,gl_ES,Raposo asustado,,,
30,1,ka_GE,შეშინებული მელა,,,
31,1,de,Ängstlicher Fuchs,,,
32,1,el,Φοβισμένη αλεπού,,,
33,1,gu_IN,ગભરાયેલ શિયાળ,,,
34,1,iw,שועל מבוהל,,,
35,1,hi,डरी हुई लोमड़ी,,,
36,1,hu,Rémült róka,,,
37,1,is_IS,Hræddur refur,,,
38,1,in,Rubah terperanjat,,,
39,1,ga,Sionnach eaglach,,,
40,1,it,Volpe spaventata,,,
41,1,ja,怖がるキツネ,,,
42,1,kn_IN,ಭಯಗೊಂಡ ನರಿ,,,
43,1,kk_KZ,Қорқақ түлкі,,,
44,1,km_KH,កញ្ជ្រោង​ភ័យខ្លាច,,,
45,1,ko,겁먹은 표정의 여우,,,
46,1,ky_KG,Корккон түлкү,,,
47,1,lo_LA,ໝາຈອກທີ່ຢ້ານ,,,
48,1,lv,Nobijusies lapsa,,,
49,1,lt,Išsigandusi lapė,,,
50,1,mk_MK,Исплашена лисица,,,
51,1,ms_MY,Musang ketakutan,,,
52,1,ml_IN,പേടിച്ച കുറുക്കൻ,,,
53,1,mr_IN,घाबरलेला कोल्हा,,,
54,1,my_ZG,ေၾကာက္လန္႔ေနေသာ ေျမေခြး,,,
55,1,mn_MN,Айсан үнэг,,,
56,1,my_MM,ကြောက်လန့်နေသော မြေခွေး,,,
57,1,ne_NP,डराएको फ्याउरो,,,
58,1,nb,Redd rev,,,
59,1,or,ଭୟଙ୍କର କୋକିଶିଆଳି,,,
60,1,pl,Przestraszony lis,,,
61,1,pt_PT,Raposa assustada,,,
62,1,pt_BR,Raposa assustada,,,
63,1,pa_IN,ਡਰੀ ਹੋਈ ਲੂੰਬੜੀ,,,
64,1,ro,Vulpița speriată,,,
65,1,ru,Испуганный лисенок,,,
66,1,sr,Uplašena lisica,,,
67,1,si_LK,බිය වූ නරියා,,,
68,1,pl_SP,Wylynkniōny lisek,,,
69,1,sk,Vydesená líška,,,
70,1,sl,Prestrašena lisica,,,
71,1,es_ES,Zorro asustado,,,
72,1,es_US,Zorro asustado,,,
73,1,sv,Rädd räv,,,
74,1,tg,Рӯбоҳ метарсад,,,
75,1,ta_IN,பயந்த நரி,,,
76,1,te_IN,భయంగా ఉన్న నక్క,,,
77,1,tk,Gorkan tilki,,,
78,1,th,จิ้งจอกหวาดหวั่น,,,
79,1,bo,ཝ་མོ་འཇིགས་པོ།,,,
80,1,tr,Korkmuş tilki,,,
81,1,uk,Налякане лисеня,,,
82,1,ur_PK,خوف زدہ لومڑی,,,
83,1,ug,تەشۋىشلىك تۈلكە,,,
84,1,uz_UZ,Qo‘rqib ketgan tulki,,,
85,1,vi,Cáo sợ hãi,,,
86,1,predefined,sticker_scared,,,
87,2,en,Dizzy fox,,,
88,2,en_US,Dizzy fox,,,
89,2,en_CA,Dizzy fox,,,
90,2,sq_AL,Dhelpra që i merren mendtë,,,
91,2,ar,الثعلب مصاب بالدوار,,,
92,2,hy_AM,Գլխապտույտ զգացող աղվես,,,
93,2,as,মূৰ ঘূৰোৱা শিয়াল,,,
94,2,az_AZ,Ürəyi bulanan tülkü,,,
95,2,eu_ES,Azeria zorabiatuta,,,
96,2,be_BY,У лісы кружыцца галава,,,
97,2,bn_IN,মাথা ঘুরতে থাকা শিয়াল,,,
98,2,bn_BD,বিহ্বল শিয়াল,,,
99,2,bs,Omamljena lisica,,,
100,2,bg,Зашеметена лисица,,,
101,2,ca,Guineu marejada,,,
102,2,zn_CN,眩晕的狐狸,,,
103,2,zn_HK,頭暈目眩的狐狸,,,
104,2,zn_TW,頭暈的狐狸,,,
105,2,hr,Lisica s vrtoglavicom,,,
106,2,cs,Liška se závratí,,,
107,2,da,Svimmel ræv,,,
108,2,nl,Duizelige vos,,,
109,2,et_EE,Uimane rebane,,,
110,2,fa,روباه گیج,,,
111,2,tl,Nahihilong fox,,,
112,2,fi,Huimaantunut kettu,,,
113,2,fr,Renard étourdi,,,
114,2,fr_CA,Renard étourdi,,,
115,2,gl_ES,Raposo mareado,,,
116,2,ka_GE,მთვლემარე მელა,,,
117,2,de,Benommener Fuchs,,,
118,2,el,Ζαλισμένη αλεπού,,,
119,2,gu_IN,અસ્થિર શિયાળ,,,
120,2,iw,שועל מסוחרר,,,
121,2,hi,भौचक्की लोमड़ी,,,
122,2,hu,Émelygő róka,,,
123,2,is_IS,Refur sem svimar,,,
124,2,in,Rubah pusing,,,
125,2,ga,Sionnach meadhránach,,,
126,2,it,Volpe frastornata,,,
127,2,ja,クラクラしているキツネ,,,
128,2,kn_IN,ಡಿಜ್ಜಿ ನರಿ,,,
129,2,kk_KZ,Басы айналып тұрған түлкі,,,
130,2,km_KH,កញ្ជ្រោង​ធីងធោង,,,
131,2,ko,어지러움을 느낀 여우,,,
132,2,ky_KG,Жүрөгү айланган түлкү,,,
133,2,lo_LA,ໝາຈອກຕາລາຍ,,,
134,2,lv,Apreibusi lapsa,,,
135,2,lt,Apsnūdusi lapė,,,
136,2,mk_MK,Зашеметена лисица,,,
137,2,ms_MY,Musang pening,,,
138,2,ml_IN,കിറുങ്ങിയ കുറുക്കൻ,,,
139,2,mr_IN,चक्रावलेला कोल्हा,,,
140,2,my_ZG,ေခါင္းမူးေနေသာ ေျမေခြး,,,
141,2,mn_MN,Толгойн эргэсэн үнэг,,,
142,2,my_MM,ခေါင်းမူးနေသော မြေခွေး,,,
143,2,ne_NP,रिङ्गटो लागेको फ्याउरो,,,
144,2,nb,Svimmel rev,,,
145,2,or,ମୁଣ୍ଡ ବୁଲାଉଥିବା କୋକିଶିଆଳି,,,
146,2,pl,Oszołomiony lis,,,
147,2,pt_PT,Raposa enjoada,,,
148,2,pt_BR,Raposa zonza,,,
149,2,pa_IN,ਚੱਕਰਾਉਂਦੀ ਲੂੰਬੜੀ,,,
150,2,ro,Vulpița amețită,,,
151,2,ru,Сбитый с толку лисенок,,,
