fromPackageName,fromVersion,fromUser,toPackageName,toVersion,isCommitted,token,provenance
com.google.android.gms.languageprofile,202,,com.google.android.gms.mdisync,1,0,b'\x08\x03\x12\x07\x15\x02\xe0\xee\xa6\x0b\x01',3
com.google.android.gms.languageprofile,202,heisenbergcarro@gmail.com,com.google.android.gms.mdisync,1,0,b'\x08\x03\x12\x07\x15\x02\xe0\xee\xa6\x0b\x01',3
com.google.android.gms.languageprofile,202,,com.google.android.gms.mdisync,1,1,b'\x08\x03\x12\x07\x15\x02\xe0\xee\xa6\x0b\x01',3
com.google.android.apps.turbo,10238605,,com.google.android.gms.tron.metrics,230,0,b'\x08\x03\x12\x06\r\x03\xca\x9a\xf7\r',3
com.google.android.metrics,223,,com.google.android.gms.tron.metrics,230,0,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.apps.turbo,10238605,heisenbergcarro@gmail.com,com.google.android.gms.tron.metrics,230,0,b'\x08\x03\x12\x06\r\x03\xca\x9a\xf7\r',3
com.google.android.metrics,223,heisenbergcarro@gmail.com,com.google.android.gms.tron.metrics,230,0,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.tron.metrics,230,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.gms,212,,com.google.android.gms.vision,2073,0,b'\x08\x03\x12\x08\x15\x01\xd7\x8b\xed\x0f\xd2\n',3
com.google.android.gms,212,heisenbergcarro@gmail.com,com.google.android.gms.vision,2073,0,b'\x08\x03\x12\x08\x15\x01\xd7\x8b\xed\x0f\xd2\n',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.gms.icing.mdd,361233441,,com.google.android.gms.autofill,26000,1,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.gms.icing.mdd,361233441,,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd#com.google.android.apps.photos,361233441,,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd#com.google.android.gms,361233441,,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd#com.google.android.googlequicksearchbox,361233441,,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd,361233441,heisenbergcarro@gmail.com,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd#com.google.android.apps.photos,361233441,heisenbergcarro@gmail.com,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd#com.google.android.gms,361233441,heisenbergcarro@gmail.com,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd#com.google.android.googlequicksearchbox,361233441,heisenbergcarro@gmail.com,com.google.android.gms.autofill,26000,0,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd,361233441,,com.google.android.gms.autofill,26000,1,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.gms.icing.mdd,361233441,,com.google.android.gms.autofill,26000,1,b'\x08\x03\x12\x0c\x15\r\xae\xf6\x93\x0c\x04k\x04\xae\x06\x04',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.gms,212,,com.google.android.gms.instantapps,232,0,b'\x08\x03\x12\x06\r\x03\xa6\x98\xed\x0f',3
com.google.android.gms,212,heisenbergcarro@gmail.com,com.google.android.gms.instantapps,232,0,b'\x08\x03\x12\x06\r\x03\xa6\x98\xed\x0f',3
com.google.android.gms,212,,com.google.android.gms.icing,99999,0,b'\x08\x03\x12\x06\r\x03\xa6\x98\xed\x0f',3
com.google.android.googlequicksearchbox,301152851,,com.google.android.gms.icing,99999,0,b'\x08\x03\x12\x07%\x02\x87\xa4\xa5\x11\x06',3
com.google.android.gms,212,heisenbergcarro@gmail.com,com.google.android.gms.icing,99999,0,b'\x08\x03\x12\x06\r\x03\xa6\x98\xed\x0f',3
com.google.android.googlequicksearchbox,301152851,heisenbergcarro@gmail.com,com.google.android.gms.icing,99999,0,b'\x08\x03\x12\x07%\x02\x87\xa4\xa5\x11\x06',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
com.google.android.gms.icing,99999,,com.google.android.googlequicksearchbox,301152851,1,b'\x08\x03\x12\x07\x15\x02\x95\x8d\xe5\x0e\x04',3
com.google.android.metrics,223,,com.google.android.gms.playlog.uploader,229,1,b'\x08\x03\x12\t\x15\x00\xa8\xec\xe7\x0e/\x03\x03',3
