id,page_url,icon_id
7,https://www.google.com/m?client=ms-android-samsung-gn-rev1&source=android-home,3
15,https://www.google.com/search?q=raines&oq=raines&aqs=chrome..69i57j46j0l2j46.3151j0j4&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,3
17,https://www.google.com/search?q=raines+property+management&client=ms-android-samsung-gn-rev1&ei=1YtqYPbZFMWm_QbhyKLAAw&oq=raines+p&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADICCAAyCAguEMcBEK8BMggILhDHARCvATIICC4QxwEQrwEyAggAMgIIADIICC4QxwEQrwEyCAguEMcBEK8BOgQIABBHOgcILhBDEJMCOgQIABBDUP0oWOksYOYzaABwAXgAgAGqAYgBzwKSAQMwLjKYAQCgAQHIAQjAAQE&sclient=mobile-gws-wiz-serp,3
18,"https://www.google.com/search?q=raines+property+management&client=ms-android-samsung-gn-rev1&ei=1YtqYPbZFMWm_QbhyKLAAw&oq=raines+p&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADICCAAyCAguEMcBEK8BMggILhDHARCvATIICC4QxwEQrwEyAggAMgIIADIICC4QxwEQrwEyCAguEMcBEK8BOgQIABBHOgcILhBDEJMCOgQIABBDUP0oWOksYOYzaABwAXgAgAGqAYgBzwKSAQMwLjKYAQCgAQHIAQjAAQE&sclient=mobile-gws-wiz-serp#trex=m_t:lcl_akp,rc_f:rln,rc_ludocids:697457946110376187,ru_lqi:ChpyYWluZXMgcHJvcGVydHkgbWFuYWdlbWVudEj-uIDO5YCAgAhaRAoacmFpbmVzIHByb3BlcnR5IG1hbmFnZW1lbnQQABABEAIYABgBGAIiGnJhaW5lcyBwcm9wZXJ0eSBtYW5hZ2VtZW50kgEXYXBhcnRtZW50X3JlbnRhbF9hZ2VuY3k,trex_id:lUsVr",3
23,https://www.google.com/search?q=properties+for+rent+near+me&oq=properties+for+rent+&aqs=chrome.1.69i57j0l4.11105j0j4&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8,3
24,https://www.rent.com/massachusetts/boston-houses,9
25,https://www.rent.com/zip-24060-houses,9
26,https://www.rent.com/massachusetts/boston-houses,10
27,https://www.rent.com/zip-24060-houses,10
36,https://www.rent.com/zip-24060-houses?page=2,10
37,https://www.rent.com/zip-24060-houses?page=2,9
40,http://mintahoe.com/?gclid=EAIaIQobChMI5JOa85eD8AIVB-PtCh0-jQJGEAEYASAAEgIGz_D_BwE,11
