_id,package_name,uid,mode,new,reason,extras,resetTime,packageType,level,disableTime,disableType,disableResetTime,current,prevCurrent,currCurrent,disableReason,dozeWhiteListed
1,com.google.android.youtube,10246,0,0,default,0,1626935788691,65,1,-1,-1,-1,0,0,0,default,-1
2,com.samsung.android.themestore,10161,0,0,default,0,1624946166021,65,1,-1,-1,-1,0,0,0,default,-1
3,com.google.android.googlequicksearchbox,10168,0,0,default,0,0,65,1,-1,-1,-1,0,0,0,default,-1
4,com.samsung.android.calendar,10216,0,0,default,0,1624946166021,65,1,-1,-1,-1,0,0,0,default,-1
5,com.samsung.android.aremoji,10059,0,0,default,0,1624946166022,64,1,-1,-1,-1,0,0,0,default,-1
6,com.diotek.sec.lookup.dictionary,10259,0,0,default,0,1624946166023,64,1,-1,-1,-1,0,0,0,default,-1
7,com.android.vending,10119,0,0,default,0,0,65,1,-1,-1,-1,0,0,0,default,-1
8,com.microsoft.skydrive,10117,0,0,default,0,1626981398478,65,1,-1,-1,-1,0,0,0,default,-1
9,com.samsung.ssu,10150,0,0,default,0,1624946166026,65,1,-1,-1,-1,0,0,0,default,-1
10,com.samsung.android.app.tips,10159,0,0,default,0,1624946166028,65,1,-1,-1,-1,0,0,0,default,-1
11,com.google.android.gm,10189,0,0,default,0,1626897632372,73,1,-1,-1,-1,0,0,0,default,-1
12,com.sec.android.gallery3d,10132,0,0,default,0,1626812034644,65,1,-1,-1,-1,0,0,0,default,-1
13,com.samsung.android.app.simplesharing,10203,0,0,default,0,1626288587924,64,1,-1,-1,-1,0,0,0,default,-1
14,com.samsung.android.app.reminder,10236,0,0,default,0,1624946166030,64,1,-1,-1,-1,0,0,0,default,-1
15,com.google.android.apps.maps,10224,0,0,default,0,1626906088947,65,1,-1,-1,-1,0,0,0,default,-1
16,com.samsung.android.ardrawing,10231,0,0,default,0,1624946166032,64,1,-1,-1,-1,0,0,0,default,-1
17,com.android.chrome,10204,0,0,default,0,1625809658602,65,1,-1,-1,-1,0,0,0,default,-1
18,com.samsung.android.spdfnote,10242,0,0,default,0,1624946166033,64,1,-1,-1,-1,0,0,0,default,-1
19,com.sec.android.app.myfiles,10140,0,0,default,0,1624946166034,65,1,-1,-1,-1,0,0,0,default,-1
20,com.netflix.mediaclient,10253,0,0,default,0,1626314558145,65,1,-1,-1,-1,0,0,0,default,-1
21,com.samsung.android.app.routines,10060,0,0,default,0,1626983036621,64,1,-1,-1,-1,0,0,0,default,-1
22,com.samsung.android.arzone,10173,0,0,default,0,1624946166036,65,1,-1,-1,-1,0,0,0,default,-1
